"Name","Nationality","Position","Team","Age","YOB","MatchedPlayed","Starts","MinutesPlayed","90s","Goals","Assists","GA","NonPenGoals","PensScored","PensAttempted","YellowCards","RedCards","xG","npxG","xAG","npxG + xAG","ProgressiveCarries","ProgressivePasses","ProgressivePassesReceived","G/90","A/90","GA/90","NonPenGoals/90","NonPenGA/90","xG/90","xAG/90","xA+xG /90","npxG/90","npXG + xAG /90","Matches","Season","Shots","ShotsOnTarget","SoT%","S/90","SoT/90","G/Shot","G/SoT","AvgShotDist","FKShots","npxG/Shot","Goals - xG","npG - npxG","PassesCompleted","PassesAttempted","PercentPassesCompleted","TotalPassingDistance","ProgressedPassingDistance","ShortPassesCompleted","ShortPassesAttempted","ShortPassesPercentCompleted","MedPassesCompleted","MedPassesAttempted","MedPassesPercentCompleted","LongPassesCompleted","LongPassesAttempted","LongPassesPercentCompleted","xA","A - xAG","KeyPasses","1/3","PPen","CPen","Progressive Passes","Tackles","TacklesWon","TklsDefThird","TklsMidThird","TklsAttThird","DribblersTackled","DribblesChallenged","DrblTkl%","ChallengesLost","Blocks","BlockedShots","BlockedPasses","Interceptions","Tackles + Interceptions","Clearances","DefensiveErrors"
"Ryan Christie","sct SCO","MF","Bournemouth","29-021","1995","28","27","2,189","24.3","0","4","4","0","0","0","4","0","1.5","1.5","4.4","5.9","47","113","67","0.00","0.16","0.16","0.00","0.16","0.06","0.18","0.24","0.06","0.24","Matches","2023/2024","32","12","37.5","1.32","0.49","0.00","0.00","19.6","0","0.05","-1.5","-1.5","744","989","75.2","14033","3823","300","348","86.2","329","403","81.6","101","183","55.2","4.0","-0.5","37","92","29","6","120","61","31","25","23","13","28","68","41.2","40","29","5","24","36","97","32","0"
"Carney Chukwuemeka","eng ENG","MF,FW","Chelsea","20-146","2003","6","2","171","1.9","1","1","2","1","0","0","2","0","0.1","0.1","0.3","0.4","4","8","15","0.53","0.53","1.05","0.53","1.05","0.07","0.16","0.22","0.07","0.22","Matches","2023/2024","2","2","100.0","1.05","1.05","0.50","0.50","17.5","0","0.07","+0.9","+0.9","86","101","85.1","1049","138","65","71","91.5","14","18","77.8","4","4","100.0","0.3","+0.7","3","4","5","0","8","2","2","1","1","0","1","2","50.0","1","1","1","0","0","2","0","0"
"Bobby Clark","eng ENG","MF","Liverpool","19-036","2005","5","1","89","1.0","0","0","0","0","0","0","0","0","0.1","0.1","0.0","0.1","3","3","7","0.00","0.00","0.00","0.00","0.00","0.14","0.00","0.14","0.14","0.14","Matches","2023/2024","2","0","0.0","2.02","0.00","0.00","","18.7","0","0.07","-0.1","-0.1","38","49","77.6","465","64","23","29","79.3","11","12","91.7","1","2","50.0","0.0","0.0","0","3","0","0","3","2","1","1","1","0","1","5","20.0","4","6","2","4","1","3","1","0"
"Jordan Clark","eng ENG","MF","Luton Town","30-174","1993","14","7","659","7.3","0","1","1","0","0","0","3","0","0.3","0.3","0.3","0.5","11","20","14","0.00","0.14","0.14","0.00","0.14","0.04","0.04","0.08","0.04","0.08","Matches","2023/2024","5","1","20.0","0.68","0.14","0.00","0.00","14.8","0","0.06","-0.3","-0.3","169","243","69.5","3000","845","70","94","74.5","65","80","81.3","21","38","55.3","0.7","+0.2","5","8","5","1","21","17","10","8","7","2","4","15","26.7","11","10","1","9","5","22","4","1"
"Nathaniel Clyne","eng ENG","DF","Crystal Palace","32-344","1991","10","7","718","8.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.1","8","18","15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.01","Matches","2023/2024","2","0","0.0","0.25","0.00","0.00","","23.0","0","0.02","0.0","0.0","257","322","79.8","3855","1642","143","156","91.7","91","110","82.7","17","29","58.6","0.1","0.0","1","21","2","1","18","15","9","7","6","2","9","12","75.0","3","9","2","7","4","19","21","0"
"Séamus Coleman","ie IRL","DF","Everton","35-155","1988","5","2","235","2.6","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1","12","7","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","63","101","62.4","1015","525","36","47","76.6","23","31","74.2","4","17","23.5","0.1","0.0","0","6","1","0","12","8","7","5","1","2","5","8","62.5","3","3","2","1","3","11","11","0"
"Nathan Collins","ie IRL","DF","Brentford","22-319","2001","23","20","1,842","20.5","1","1","2","1","0","0","3","0","1.6","1.6","1.5","3.1","6","70","12","0.05","0.05","0.10","0.05","0.10","0.08","0.07","0.15","0.08","0.15","Matches","2023/2024","9","2","22.2","0.44","0.10","0.11","0.50","8.1","0","0.18","-0.6","-0.6","937","1142","82.0","17211","6079","339","383","88.5","499","569","87.7","81","149","54.4","0.7","-0.5","7","55","3","0","70","23","11","15","7","1","12","22","54.5","10","27","15","12","34","57","108","4"
"Levi Colwill","eng ENG","DF","Chelsea","21-017","2003","23","20","1,797","20.0","1","1","2","1","0","0","2","0","1.3","1.3","1.2","2.5","23","73","27","0.05","0.05","0.10","0.05","0.10","0.06","0.06","0.12","0.06","0.12","Matches","2023/2024","11","3","27.3","0.55","0.15","0.09","0.33","11.9","0","0.12","-0.3","-0.3","965","1163","83.0","16310","5939","444","495","89.7","456","508","89.8","51","117","43.6","0.5","-0.2","7","82","6","0","73","48","30","26","17","5","26","34","76.5","8","28","10","18","26","74","66","0"
"Lewis Cook","eng ENG","MF","Bournemouth","27-040","1997","23","22","1,890","21.0","0","3","3","0","0","0","4","1","0.2","0.2","2.9","3.1","14","100","11","0.00","0.14","0.14","0.00","0.14","0.01","0.14","0.15","0.01","0.15","Matches","2023/2024","7","3","42.9","0.33","0.14","0.00","0.00","25.1","0","0.02","-0.2","-0.2","783","1010","77.5","13987","4811","317","368","86.1","368","418","88.0","78","170","45.9","2.3","0.0","33","99","17","4","102","41","27","18","20","3","24","42","57.1","18","21","7","14","44","85","29","1"
"Jack Cork","eng ENG","MF","Burnley","34-263","1989","3","0","19","0.2","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","3","2","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","16","24","66.7","252","39","6","9","66.7","8","8","100.0","1","3","33.3","0.0","0.0","0","3","0","0","2","2","0","0","2","0","1","3","33.3","2","0","0","0","0","2","1","0"
