"Name","Nationality","Position","Team","Age","YOB","MatchedPlayed","Starts","MinutesPlayed","90s","Goals","Assists","GA","NonPenGoals","PensScored","PensAttempted","YellowCards","RedCards","xG","npxG","xAG","npxG + xAG","ProgressiveCarries","ProgressivePasses","ProgressivePassesReceived","G/90","A/90","GA/90","NonPenGoals/90","NonPenGA/90","xG/90","xAG/90","xA+xG /90","npxG/90","npXG + xAG /90","Matches","Season","Shots","ShotsOnTarget","SoT%","S/90","SoT/90","G/Shot","G/SoT","AvgShotDist","FKShots","npxG/Shot","Goals - xG","npG - npxG","PassesCompleted","PassesAttempted","PercentPassesCompleted","TotalPassingDistance","ProgressedPassingDistance","ShortPassesCompleted","ShortPassesAttempted","ShortPassesPercentCompleted","MedPassesCompleted","MedPassesAttempted","MedPassesPercentCompleted","LongPassesCompleted","LongPassesAttempted","LongPassesPercentCompleted","xA","A - xAG","KeyPasses","1/3","PPen","CPen","Progressive Passes","Tackles","TacklesWon","TklsDefThird","TklsMidThird","TklsAttThird","DribblersTackled","DribblesChallenged","DrblTkl%","ChallengesLost","Blocks","BlockedShots","BlockedPasses","Interceptions","Tackles + Interceptions","Clearances","DefensiveErrors"
"Max Aarons","eng ENG","DF","Bournemouth","24-070","2000","14","12","1,085","12.1","0","1","1","0","0","0","1","0","0.0","0.0","0.8","0.8","19","40","22","0.00","0.08","0.08","0.00","0.08","0.00","0.07","0.07","0.00","0.07","Matches","2023/2024","1","0","0.0","0.08","0.00","0.00","","23.9","0","0.02","0.0","0.0","379","501","75.6","6256","2424","186","213","87.3","156","202","77.2","31","56","55.4","0.9","+0.2","7","22","12","2","40","28","18","20","6","2","19","30","63.3","11","9","5","4","6","34","23","0"
"Bénie Adama Traore","ci CIV","FW,MF","Sheffield Utd","21-105","2002","8","3","387","4.3","0","0","0","0","0","0","0","0","0.3","0.3","0.5","0.8","7","9","14","0.00","0.00","0.00","0.00","0.00","0.06","0.13","0.19","0.06","0.19","Matches","2023/2024","1","1","100.0","0.23","0.23","0.00","0.00","15.3","0","0.27","-0.3","-0.3","55","71","77.5","775","185","34","38","89.5","19","23","82.6","1","1","100.0","0.5","-0.5","4","2","7","1","9","4","2","1","2","1","0","4","0.0","4","4","1","3","1","5","1","0"
"Tyler Adams","us USA","MF","Bournemouth","25-029","1999","1","0","20","0.2","0","0","0","0","0","0","0","0","","","","","","","","0.00","0.00","0.00","0.00","0.00","","","","","","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","11","14","78.6","152","34","8","8","100.0","3","5","60.0","0","1","0.0","0.0","0.0","0","2","0","0","1","","0","","","","","","","","","","","0","","",""
"Tosin Adarabioyo","eng ENG","DF","Fulham","26-172","1997","14","12","1,083","12.0","1","0","1","1","0","0","1","0","0.6","0.6","0.1","0.6","5","38","2","0.08","0.00","0.08","0.08","0.08","0.05","0.01","0.05","0.05","0.05","Matches","2023/2024","10","3","30.0","0.83","0.25","0.10","0.33","15.5","0","0.06","+0.4","+0.4","703","830","84.7","14444","5328","189","211","89.6","432","479","90.2","77","117","65.8","0.3","-0.1","1","28","2","0","38","16","10","11","5","0","10","14","71.4","4","11","8","3","18","34","60","0"
"Elijah Adebayo","eng ENG","FW","Luton Town","26-067","1998","23","13","1,162","12.9","9","0","9","9","0","0","1","0","5.9","5.9","0.7","6.6","15","19","90","0.70","0.00","0.70","0.70","0.70","0.44","0.05","0.49","0.44","0.49","Matches","2023/2024","28","12","42.9","2.17","0.93","0.32","0.75","9.5","0","0.20","+3.4","+3.4","128","177","72.3","1627","336","84","105","80.0","35","52","67.3","3","6","50.0","0.4","-0.7","14","7","3","0","19","1","0","1","0","0","0","10","0.0","10","8","1","7","5","6","23","0"
"Simon Adingra","ci CIV","FW","Brighton","22-073","2002","21","16","1,446","16.1","6","1","7","6","0","0","2","0","3.1","3.1","2.3","5.4","72","32","199","0.37","0.06","0.44","0.37","0.44","0.19","0.14","0.34","0.19","0.34","Matches","2023/2024","33","15","45.5","2.05","0.93","0.18","0.40","16.1","0","0.10","+2.9","+2.9","425","566","75.1","6033","1085","269","328","82.0","129","172","75.0","16","26","61.5","1.7","-1.3","20","9","23","8","32","22","12","12","5","5","11","29","37.9","18","16","1","15","12","34","10","0"
"Nayef Aguerd","ma MAR","DF","West Ham","27-350","1996","20","20","1,767","19.6","1","0","1","1","0","0","3","1","1.5","1.5","0.2","1.8","10","64","3","0.05","0.00","0.05","0.05","0.05","0.08","0.01","0.09","0.08","0.09","Matches","2023/2024","14","3","21.4","0.71","0.15","0.07","0.33","10.8","0","0.11","-0.5","-0.5","877","1103","79.5","18574","8383","312","333","93.7","415","453","91.6","137","290","47.2","0.4","-0.2","3","69","2","0","64","23","12","17","6","0","14","19","73.7","5","31","23","8","17","40","82","2"
"Brandon Aguilera","cr CRC","FW","Nott'ham Forest","20-260","2003","1","0","5","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","4","8","50.0","48","23","3","6","50.0","1","2","50.0","0","0","","0.0","0.0","0","1","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"Naouirou Ahamada","fr FRA","MF,FW","Crystal Palace","21-351","2002","16","0","235","2.6","0","0","0","0","0","0","1","0","0.4","0.4","0.0","0.4","15","11","17","0.00","0.00","0.00","0.00","0.00","0.14","0.01","0.15","0.14","0.15","Matches","2023/2024","7","1","14.3","2.68","0.38","0.00","0.00","20.1","0","0.05","-0.4","-0.4","87","109","79.8","1249","306","48","56","85.7","32","37","86.5","2","4","50.0","0.1","0.0","1","2","0","0","11","6","4","3","3","0","4","11","36.4","7","3","0","3","1","7","3","0"
"Anel Ahmedhodžic","ba BIH","DF","Sheffield Utd","24-354","1999","22","20","1,840","20.4","1","0","1","1","0","0","8","0","2.5","2.5","0.0","2.6","9","29","17","0.05","0.00","0.05","0.05","0.05","0.12","0.00","0.13","0.12","0.13","Matches","2023/2024","15","3","20.0","0.73","0.15","0.07","0.33","12.4","0","0.17","-1.5","-1.5","538","714","75.4","8832","3369","259","298","86.9","234","288","81.3","34","93","36.6","0.1","0.0","1","28","1","0","29","48","30","35","11","2","22","36","61.1","14","32","19","13","23","71","98","1"
"Ola Aina","ng NGA","DF","Nott'ham Forest","27-158","1996","14","12","989","11.0","1","1","2","1","0","0","3","0","0.2","0.2","0.5","0.7","29","30","22","0.09","0.09","0.18","0.09","0.18","0.01","0.05","0.06","0.01","0.06","Matches","2023/2024","6","1","16.7","0.55","0.09","0.17","1.00","26.3","0","0.03","+0.8","+0.8","290","392","74.0","4606","1841","154","173","89.0","112","143","78.3","18","50","36.0","0.4","+0.5","5","22","3","1","30","26","15","21","4","1","17","23","73.9","6","10","3","7","8","34","38","1"
"Rayan Aït Nouri","dz ALG","DF,MF","Wolves","22-282","2001","24","21","1,705","18.9","1","1","2","1","0","0","6","0","1.9","1.9","1.9","3.8","51","84","78","0.05","0.05","0.11","0.05","0.11","0.10","0.10","0.20","0.10","0.20","Matches","2023/2024","15","3","20.0","0.79","0.16","0.07","0.33","15.9","0","0.13","-0.9","-0.9","747","885","84.4","10371","3139","466","513","90.8","218","256","85.2","30","53","56.6","1.4","-0.9","20","51","11","2","84","49","28","27","17","5","19","31","61.3","12","24","6","18","12","61","31","0"
"Kristoffer Ajer","no NOR","DF","Brentford","25-332","1998","20","13","1,208","13.4","0","1","1","0","0","0","4","0","0.7","0.7","2.2","2.8","17","41","26","0.00","0.07","0.07","0.00","0.07","0.05","0.16","0.21","0.05","0.21","Matches","2023/2024","6","1","16.7","0.45","0.07","0.00","0.00","9.0","0","0.11","-0.7","-0.7","411","554","74.2","7024","2493","190","225","84.4","181","227","79.7","34","80","42.5","2.4","-1.2","10","41","3","2","41","25","13","16","8","1","17","26","65.4","9","15","7","8","15","40","56","1"
"Manuel Akanji","ch SUI","DF,MF","Manchester City","28-239","1995","20","19","1,676","18.6","2","0","2","2","0","0","4","1","0.9","0.9","0.2","1.1","34","93","21","0.11","0.00","0.11","0.11","0.11","0.05","0.01","0.06","0.05","0.06","Matches","2023/2024","10","4","40.0","0.54","0.21","0.20","0.50","19.6","0","0.09","+1.1","+1.1","1447","1557","92.9","23687","6232","720","749","96.1","624","662","94.3","77","104","74.0","1.1","-0.2","6","138","9","1","93","25","16","10","10","5","14","26","53.8","12","21","10","11","20","45","55","1"
"Nathan Aké","nl NED","DF","Manchester City","29-025","1995","23","19","1,727","19.2","2","2","4","2","0","0","0","0","1.6","1.6","1.2","2.9","23","102","17","0.10","0.10","0.21","0.10","0.21","0.09","0.06","0.15","0.09","0.15","Matches","2023/2024","18","4","22.2","0.94","0.21","0.11","0.50","11.3","0","0.09","+0.4","+0.4","1454","1585","91.7","22247","7257","744","782","95.1","637","676","94.2","38","72","52.8","1.1","+0.8","10","129","5","1","102","23","13","15","6","2","12","17","70.6","5","13","2","11","11","34","44","0"
"Thiago Alcántara","es ESP","MF","Liverpool","32-338","1991","1","0","6","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","7","10","70.0","130","30","3","3","100.0","3","4","75.0","1","2","50.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"Trent Alexander-Arnold","eng ENG","DF","Liverpool","25-159","1998","21","19","1,622","18.0","2","4","6","2","0","0","5","0","1.8","1.5","5.5","7.0","31","153","65","0.11","0.22","0.33","0.11","0.33","0.10","0.30","0.40","0.08","0.39","Matches","2023/2024","30","4","13.3","1.66","0.22","0.07","0.50","24.2","3","0.05","+0.2","+0.5","1148","1534","74.8","22646","9291","495","538","92.0","445","567","78.5","190","385","49.4","4.6","-1.5","53","146","42","12","153","28","19","19","8","1","20","67","29.9","47","13","1","12","23","51","39","4"
"Alisson","br BRA","GK","Liverpool","31-164","1992","21","21","1,890","21.0","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","0","2","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","765","897","85.3","16907","10411","184","185","99.5","457","466","98.1","122","239","51.0","0.0","0.0","1","6","0","0","2","0","0","0","0","0","0","1","0.0","1","0","0","0","0","0","10","3"
"Miguel Almirón","py PAR","FW","Newcastle Utd","30-033","1994","28","23","1,838","20.4","3","1","4","3","0","0","1","0","4.5","4.5","2.0","6.5","77","75","156","0.15","0.05","0.20","0.15","0.20","0.22","0.10","0.32","0.22","0.32","Matches","2023/2024","40","11","27.5","1.96","0.54","0.08","0.27","16.3","0","0.11","-1.5","-1.5","625","757","82.6","8503","1743","385","429","89.7","195","237","82.3","20","37","54.1","2.0","-1.0","21","37","20","3","75","34","23","12","15","7","11","28","39.3","17","28","2","26","10","44","11","0"
"Edson Álvarez","mx MEX","MF","West Ham","26-142","1997","24","22","1,878","20.9","1","1","2","1","0","0","9","0","1.3","1.3","0.4","1.7","17","66","21","0.05","0.05","0.10","0.05","0.10","0.06","0.02","0.08","0.06","0.08","Matches","2023/2024","17","3","17.6","0.81","0.14","0.06","0.33","21.1","0","0.08","-0.3","-0.3","831","973","85.4","13695","4076","412","456","90.4","330","365","90.4","66","106","62.3","0.6","+0.6","9","67","4","0","66","63","31","39","20","4","23","47","48.9","24","42","17","25","30","93","69","0"
"Julián Álvarez","ar ARG","MF,FW","Manchester City","24-043","2000","28","26","2,197","24.4","8","7","15","7","1","1","2","0","9.0","8.2","6.2","14.5","52","87","144","0.33","0.29","0.61","0.29","0.57","0.37","0.25","0.62","0.34","0.59","Matches","2023/2024","74","29","39.2","3.03","1.19","0.09","0.24","18.6","12","0.11","-1.0","-1.2","832","1047","79.5","11651","2577","498","552","90.2","228","275","82.9","52","129","40.3","5.6","+0.8","61","38","32","4","87","19","9","3","7","9","7","25","28.0","18","23","0","23","2","21","13","1"
"Zeki Amdouni","ch SUI","FW","Burnley","23-101","2000","26","25","1,758","19.5","4","1","5","4","0","0","1","0","4.2","4.2","1.4","5.6","56","45","81","0.20","0.05","0.26","0.20","0.26","0.22","0.07","0.29","0.22","0.29","Matches","2023/2024","38","19","50.0","1.95","0.97","0.11","0.21","17.2","0","0.11","-0.2","-0.2","351","448","78.3","5648","1090","184","230","80.0","129","148","87.2","24","33","72.7","1.2","-0.4","15","27","8","0","45","25","16","1","13","11","7","23","30.4","16","20","9","11","7","32","10","0"
"Sofyan Amrabat","ma MAR","MF,DF","Manchester Utd","27-206","1996","14","7","640","7.1","0","0","0","0","0","0","3","0","0.1","0.1","0.2","0.2","5","50","8","0.00","0.00","0.00","0.00","0.00","0.01","0.03","0.03","0.01","0.03","Matches","2023/2024","2","0","0.0","0.28","0.00","0.00","","23.7","0","0.03","-0.1","-0.1","398","461","86.3","7507","1957","147","171","86.0","194","216","89.8","47","55","85.5","0.2","-0.2","4","45","4","0","50","23","15","14","7","2","16","25","64.0","9","12","3","9","5","28","12","2"
"Joachim Andersen","dk DEN","DF","Crystal Palace","27-288","1996","28","28","2,519","28.0","2","2","4","2","0","0","4","0","1.3","1.3","1.7","3.0","20","121","8","0.07","0.07","0.14","0.07","0.14","0.05","0.06","0.11","0.05","0.11","Matches","2023/2024","18","8","44.4","0.64","0.29","0.11","0.25","13.5","1","0.07","+0.7","+0.7","1288","1628","79.1","28482","10557","351","403","87.1","722","792","91.2","207","395","52.4","1.6","+0.3","14","141","16","8","121","35","22","25","9","1","20","29","69.0","9","28","17","11","33","68","138","1"
"Elliot Anderson","sct SCO","MF,FW","Newcastle Utd","21-129","2002","11","4","434","4.8","0","1","1","0","0","0","0","0","0.7","0.7","0.9","1.6","17","28","36","0.00","0.21","0.21","0.00","0.21","0.15","0.18","0.33","0.15","0.33","Matches","2023/2024","7","2","28.6","1.45","0.41","0.00","0.00","14.0","0","0.10","-0.7","-0.7","161","195","82.6","2236","465","104","120","86.7","47","50","94.0","5","12","41.7","0.3","+0.1","6","15","8","0","28","10","7","4","5","1","5","11","45.5","6","7","3","4","2","12","6","0"
"Jaidon Anthony","eng ENG","FW","Bournemouth","24-104","1999","3","2","152","1.7","0","0","0","0","0","0","1","0","0.1","0.1","0.0","0.1","2","8","9","0.00","0.00","0.00","0.00","0.00","0.04","0.00","0.04","0.04","0.04","Matches","2023/2024","2","1","50.0","1.18","0.59","0.00","0.00","24.5","0","0.03","-0.1","-0.1","30","45","66.7","453","139","17","20","85.0","10","14","71.4","1","6","16.7","0.0","0.0","0","3","1","0","8","3","1","1","0","2","1","7","14.3","6","3","0","3","1","4","3","0"
"Michail Antonio","jm JAM","FW","West Ham","33-352","1990","16","12","959","10.7","2","2","4","2","0","0","4","0","2.2","2.2","0.8","2.9","30","11","58","0.19","0.19","0.38","0.19","0.38","0.20","0.07","0.28","0.20","0.28","Matches","2023/2024","14","4","28.6","1.31","0.38","0.14","0.50","13.1","0","0.15","-0.2","-0.2","100","180","55.6","1470","385","62","87","71.3","26","52","50.0","7","14","50.0","1.2","+1.2","7","7","6","2","11","8","4","3","3","2","3","6","50.0","3","10","3","7","1","9","1","0"
"Antony","br BRA","FW","Manchester Utd","24-019","2000","22","11","953","10.6","0","0","0","0","0","0","3","0","1.5","1.5","2.1","3.6","37","49","114","0.00","0.00","0.00","0.00","0.00","0.14","0.20","0.34","0.14","0.34","Matches","2023/2024","26","5","19.2","2.46","0.47","0.00","0.00","19.0","0","0.06","-1.5","-1.5","327","428","76.4","4338","1148","202","242","83.5","96","114","84.2","10","24","41.7","1.5","-2.1","16","21","19","2","49","28","14","10","12","6","16","30","53.3","14","20","1","19","8","36","6","0"
"Oliver Arblaster","eng ENG","MF","Sheffield Utd","19-314","2004","2","1","106","1.2","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.1","2","4","0","0.00","0.00","0.00","0.00","0.00","0.03","0.03","0.07","0.03","0.07","Matches","2023/2024","1","1","100.0","0.85","0.85","0.00","0.00","16.6","0","0.04","0.0","0.0","30","35","85.7","455","141","19","20","95.0","9","9","100.0","2","3","66.7","0.0","0.0","1","2","0","0","4","0","0","0","0","0","0","0","","0","2","1","1","1","1","1","0"
"Cameron Archer","eng ENG","FW,MF","Sheffield Utd","22-237","2001","21","16","1,449","16.1","4","0","4","4","0","0","1","0","3.9","3.9","1.7","5.6","27","12","81","0.25","0.00","0.25","0.25","0.25","0.24","0.10","0.35","0.24","0.35","Matches","2023/2024","29","7","24.1","1.80","0.43","0.14","0.57","16.2","0","0.14","+0.1","+0.1","218","271","80.4","2637","387","145","171","84.8","49","53","92.5","4","8","50.0","0.8","-1.7","17","8","6","1","12","14","9","6","5","3","6","15","40.0","9","17","3","14","1","15","10","0"
"Cameron Archer","eng ENG","MF","Aston Villa","22-237","2001","1","0","6","0.1","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","1","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","5","6","83.3","42","0","5","6","83.3","0","0","","0","0","","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"Alphonse Areola","fr FRA","GK","West Ham","31-016","1993","25","25","2,204","24.5","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","0","1","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","466","714","65.3","14687","10719","60","61","98.4","207","208","99.5","197","439","44.9","0.0","0.0","0","7","0","0","1","1","1","1","0","0","1","3","33.3","2","0","0","0","1","2","11","0"
"Lorenz Assignon","tg TOG","DF","Burnley","23-266","2000","6","6","527","5.9","0","1","1","0","0","0","2","0","0.0","0.0","1.2","1.2","9","5","19","0.00","0.17","0.17","0.00","0.17","0.01","0.20","0.21","0.01","0.21","Matches","2023/2024","1","0","0.0","0.17","0.00","0.00","","28.8","0","0.03","0.0","0.0","119","176","67.6","1731","617","65","83","78.3","48","65","73.8","2","13","15.4","0.3","-0.2","5","3","3","3","5","19","10","10","7","2","11","15","73.3","4","9","3","6","7","26","19","0"
"Serge Aurier","ci CIV","DF,MF","Nott'ham Forest","31-081","1992","12","10","833","9.3","0","2","2","0","0","0","2","0","0.2","0.2","0.5","0.6","10","47","29","0.00","0.22","0.22","0.00","0.22","0.02","0.05","0.07","0.02","0.07","Matches","2023/2024","6","1","16.7","0.65","0.11","0.00","0.00","16.0","0","0.03","-0.2","-0.2","348","448","77.7","5238","2147","191","225","84.9","130","156","83.3","17","45","37.8","0.5","+1.5","4","31","9","4","47","20","14","9","11","0","5","11","45.5","6","10","3","7","9","29","36","1"
"Taiwo Awoniyi","ng NGA","FW","Nott'ham Forest","26-215","1997","17","12","1,024","11.4","6","3","9","6","0","0","2","0","4.7","4.7","1.7","6.4","8","14","43","0.53","0.26","0.79","0.53","0.79","0.42","0.15","0.57","0.42","0.57","Matches","2023/2024","22","11","50.0","1.93","0.97","0.27","0.55","11.5","0","0.22","+1.3","+1.3","122","170","71.8","1557","307","84","107","78.5","34","47","72.3","3","5","60.0","0.9","+1.3","10","6","3","0","14","9","7","1","4","4","1","2","50.0","1","7","2","5","1","10","9","0"
"Jordan Ayew","gh GHA","FW,MF","Crystal Palace","32-185","1991","26","25","2,134","23.7","4","6","10","4","0","0","8","1","3.6","3.6","4.0","7.6","66","58","157","0.17","0.25","0.42","0.17","0.42","0.15","0.17","0.32","0.15","0.32","Matches","2023/2024","41","16","39.0","1.73","0.67","0.10","0.25","17.1","0","0.09","+0.4","+0.4","553","755","73.2","8059","1693","340","392","86.7","169","229","73.8","23","65","35.4","2.5","+2.0","23","35","24","10","58","53","28","21","20","12","15","34","44.1","19","38","2","36","14","67","12","0"
"Benoît Badiashile","fr FRA","DF","Chelsea","22-354","2001","8","6","560","6.2","0","1","1","0","0","0","1","0","0.1","0.1","0.5","0.7","1","25","1","0.00","0.16","0.16","0.00","0.16","0.02","0.09","0.11","0.02","0.11","Matches","2023/2024","2","1","50.0","0.32","0.16","0.00","0.00","11.4","0","0.06","-0.1","-0.1","448","498","90.0","7789","3128","188","198","94.9","230","251","91.6","25","37","67.6","0.6","+0.5","3","22","2","0","25","13","10","8","5","0","6","10","60.0","4","9","4","5","5","18","31","1"
"Leon Bailey","jm JAM","MF,FW","Aston Villa","26-218","1997","26","15","1,402","15.6","8","8","16","8","0","0","4","0","4.5","4.5","6.8","11.4","73","49","168","0.51","0.51","1.03","0.51","1.03","0.29","0.44","0.73","0.29","0.73","Matches","2023/2024","41","15","36.6","2.63","0.96","0.20","0.53","16.8","1","0.11","+3.5","+3.5","384","531","72.3","6120","1567","210","259","81.1","126","163","77.3","36","57","63.2","5.5","+1.2","37","23","26","3","49","7","3","3","2","2","3","12","25.0","9","11","1","10","8","15","5","0"
"George Baldock","gr GRE","DF","Sheffield Utd","31-005","1993","13","11","969","10.8","0","1","1","0","0","0","4","0","0.0","0.0","0.8","0.8","9","31","24","0.00","0.09","0.09","0.00","0.09","0.00","0.07","0.08","0.00","0.08","Matches","2023/2024","1","0","0.0","0.09","0.00","0.00","","22.2","0","0.02","0.0","0.0","291","397","73.3","4602","1810","169","191","88.5","100","124","80.6","18","52","34.6","0.6","+0.2","7","18","11","4","31","18","10","10","7","1","6","15","40.0","9","14","8","6","10","28","33","0"
"Carlos Baleba","cm CMR","MF","Brighton","20-071","2004","17","9","764","8.5","0","0","0","0","0","0","5","0","0.6","0.6","0.2","0.7","6","33","5","0.00","0.00","0.00","0.00","0.00","0.07","0.02","0.08","0.07","0.08","Matches","2023/2024","12","2","16.7","1.41","0.24","0.00","0.00","23.9","0","0.05","-0.6","-0.6","445","482","92.3","6745","1501","234","252","92.9","180","188","95.7","18","21","85.7","0.1","-0.2","6","19","1","0","33","27","14","12","12","3","15","28","53.6","13","18","4","14","12","39","19","2"
"Fodé Ballo-Touré","sn SEN","DF,MF","Fulham","27-071","1997","5","0","58","0.6","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","5","0","4","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","50","70","71.4","881","200","21","27","77.8","23","30","76.7","5","6","83.3","0.0","0.0","0","3","0","0","0","3","2","1","2","0","1","1","100.0","0","1","0","1","3","6","2","0"
"Shandon Baptiste","gd GRN","MF","Brentford","25-341","1998","9","2","218","2.4","1","0","1","1","0","0","0","0","0.9","0.9","0.1","1.0","3","5","0","0.41","0.00","0.41","0.41","0.41","0.37","0.05","0.41","0.37","0.41","Matches","2023/2024","2","2","100.0","0.83","0.83","0.50","0.50","6.6","0","0.45","+0.1","+0.1","61","84","72.6","1042","284","32","38","84.2","22","24","91.7","6","14","42.9","0.3","-0.1","2","7","1","0","5","4","4","2","2","0","1","5","20.0","4","5","1","4","3","7","6","0"
"Ross Barkley","eng ENG","MF","Luton Town","30-100","1993","23","21","1,873","20.8","3","3","6","3","0","0","4","0","2.9","2.9","3.5","6.4","35","117","23","0.14","0.14","0.29","0.14","0.29","0.14","0.17","0.31","0.14","0.31","Matches","2023/2024","50","10","20.0","2.40","0.48","0.08","0.40","20.8","5","0.07","+0.7","+0.7","847","1031","82.2","15141","4568","376","420","89.5","330","368","89.7","106","166","63.9","2.2","-0.5","39","95","21","0","118","38","15","14","17","7","7","32","21.9","25","18","6","12","20","58","43","2"
"Harvey Barnes","eng ENG","FW","Newcastle Utd","26-096","1997","11","3","360","4.0","2","1","3","2","0","0","1","0","1.2","1.2","0.9","2.0","26","13","38","0.50","0.25","0.75","0.50","0.75","0.29","0.22","0.51","0.29","0.51","Matches","2023/2024","12","4","33.3","3.00","1.00","0.17","0.50","19.7","0","0.10","+0.8","+0.8","100","131","76.3","1376","331","65","72","90.3","31","39","79.5","2","8","25.0","0.9","+0.1","2","5","6","0","13","3","1","1","2","0","0","1","0.0","1","0","0","0","2","5","1","0"
"Chris Basham","eng ENG","DF,MF","Sheffield Utd","35-238","1988","8","3","321","3.6","0","0","0","0","0","0","1","0","0.1","0.1","0.3","0.4","1","7","6","0.00","0.00","0.00","0.00","0.00","0.04","0.07","0.10","0.04","0.10","Matches","2023/2024","2","0","0.0","0.56","0.00","0.00","","10.8","0","0.06","-0.1","-0.1","103","138","74.6","1506","484","62","70","88.6","31","45","68.9","6","14","42.9","0.1","-0.3","2","7","2","0","7","7","2","4","3","0","2","9","22.2","7","9","4","5","5","12","17","0"
"Calvin Bassey","ng NGA","DF","Fulham","24-074","1999","19","15","1,403","15.6","1","0","1","1","0","0","4","1","0.2","0.2","0.0","0.2","7","36","4","0.06","0.00","0.06","0.06","0.06","0.01","0.00","0.02","0.01","0.02","Matches","2023/2024","3","1","33.3","0.19","0.06","0.33","1.00","11.9","0","0.07","+0.8","+0.8","883","1024","86.2","16853","5601","297","310","95.8","478","524","91.2","92","156","59.0","0.1","0.0","1","40","1","0","36","27","17","17","9","1","9","13","69.2","4","21","8","13","23","50","48","3"
"Owen Beck","wls WAL","DF","Liverpool","21-218","2002","1","0","8","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","3","4","75.0","31","1","2","3","66.7","1","1","100.0","0","0","","0.0","0.0","0","0","0","0","0","2","1","1","1","0","0","0","","0","0","0","0","0","2","1","0"
"Donny van de Beek","nl NED","DF","Manchester Utd","26-331","1997","1","0","3","0.0","0","0","0","0","0","0","0","0","0.0","0.0","0.1","0.2","0","0","1","0.00","0.00","0.00","0.00","0.00","1.09","4.44","5.54","1.09","5.54","Matches","2023/2024","1","0","0.0","30.00","0.00","0.00","","16.1","0","0.04","0.0","0.0","1","1","100.0","7","0","1","1","100.0","0","0","","0","0","","0.0","-0.1","1","0","0","0","0","0","0","0","0","0","0","0","","0","1","0","1","0","0","0","0"
"Amari'i Bell","jm JAM","DF","Luton Town","29-314","1994","21","21","1,720","19.1","0","0","0","0","0","0","0","0","0.3","0.3","0.6","0.9","32","79","10","0.00","0.00","0.00","0.00","0.00","0.01","0.03","0.04","0.01","0.04","Matches","2023/2024","2","2","100.0","0.10","0.10","0.00","0.00","18.8","0","0.13","-0.3","-0.3","645","835","77.2","10680","4470","324","372","87.1","270","315","85.7","44","108","40.7","0.4","-0.5","8","63","8","0","76","51","33","31","19","1","23","36","63.9","13","34","15","19","25","76","63","1"
"Jean-Ricner Bellegarde","fr FRA","MF,FW","Wolves","25-261","1998","19","9","806","9.0","2","1","3","2","0","0","0","1","1.4","1.4","0.8","2.2","25","37","43","0.22","0.11","0.33","0.22","0.33","0.15","0.09","0.25","0.15","0.25","Matches","2023/2024","14","5","35.7","1.56","0.56","0.14","0.40","17.2","0","0.10","+0.6","+0.6","217","278","78.1","3112","749","128","141","90.8","69","89","77.5","13","24","54.2","0.8","+0.2","11","17","6","0","37","15","9","7","6","2","6","13","46.2","7","17","2","15","7","22","13","0"
