"Name","Nationality","Pos","Team","Age","YOB","MatchedPlayed","Starts","MinutesPlayed","90s","GoalsAgainst","GoalsAgainst/90","SotAgainst","Saves","SavePercentage","Wins","Draws","Losses","CleanSheets","CleanSheetPercent","PensAttempted","PensAllowed","PensSaved","PensMissed","PenSavePercent","Matches","Season"
"Kepa Arrizabalaga","es ESP","GK","Chelsea","25","1994","7","6","585","6.5","8","1.23","23","15","69.6","2","2","2","2","33.3","1","1","0","0","0.0","Matches","2020/2021"
"Jack Butland","eng ENG","GK","Crystal Palace","27","1993","1","1","90","1.0","2","2.00","5","3","60.0","1","0","0","0","0.0","0","0","0","0","","Matches","2020/2021"
"David Button","eng ENG","GK","West Brom","31","1989","1","1","90","1.0","2","2.00","6","4","66.7","1","0","0","0","0.0","0","0","0","0","","Matches","2020/2021"
"Willy Caballero","ar ARG","GK","Chelsea","38","1981","1","1","90","1.0","3","3.00","3","0","0.0","0","1","0","0","0.0","0","0","0","0","","Matches","2020/2021"
"Scott Carson","eng ENG","GK","Manchester City","34","1985","1","1","90","1.0","3","3.00","5","1","60.0","1","0","0","0","0.0","2","1","1","0","50.0","Matches","2020/2021"
"Kiko Casilla","es ESP","GK","Leeds United","33","1986","3","3","270","3.0","2","0.67","10","8","80.0","2","0","1","1","33.3","0","0","0","0","","Matches","2020/2021"
"Karl Darlow","eng ENG","GK","Newcastle Utd","29","1990","25","25","2,250","25.0","43","1.72","126","84","68.3","7","4","14","4","16.0","4","3","1","0","25.0","Matches","2020/2021"
"Martin Dúbravka","sk SVK","GK","Newcastle Utd","31","1989","13","13","1,170","13.0","19","1.46","62","44","71.0","5","5","3","3","23.1","1","1","0","0","0.0","Matches","2020/2021"
"Ederson","br BRA","GK","Manchester City","26","1993","36","36","3,240","36.0","28","0.78","93","65","77.4","25","5","6","19","52.8","8","7","1","0","12.5","Matches","2020/2021"
"Lukasz Fabianski","pl POL","GK","West Ham","35","1985","35","35","3,150","35.0","44","1.26","138","97","70.3","17","8","10","10","28.6","5","3","1","1","25.0","Matches","2020/2021"
"Fraser Forster","eng ENG","GK","Southampton","32","1988","8","8","720","8.0","11","1.37","31","19","71.0","4","0","4","2","25.0","3","2","1","0","33.3","Matches","2020/2021"
"David de Gea","es ESP","GK","Manchester Utd","29","1990","26","26","2,295","25.5","32","1.25","90","59","68.9","12","9","5","9","34.6","4","4","0","0","0.0","Matches","2020/2021"
"Vicente Guaita","es ESP","GK","Crystal Palace","33","1987","37","37","3,330","37.0","64","1.73","169","104","63.9","11","8","18","8","21.6","4","3","1","0","25.0","Matches","2020/2021"
"Dean Henderson","eng ENG","GK","Manchester Utd","23","1997","13","12","1,125","12.5","12","0.96","51","39","76.5","9","2","1","4","33.3","0","0","0","0","","Matches","2020/2021"
"Sam Johnstone","eng ENG","GK","West Brom","27","1993","37","37","3,330","37.0","74","2.00","234","162","71.4","4","11","22","6","16.2","11","7","1","3","12.5","Matches","2020/2021"
"Caoimhín Kelleher","ie IRL","GK","Liverpool","21","1998","2","2","180","2.0","1","0.50","7","6","85.7","1","0","1","1","50.0","0","0","0","0","","Matches","2020/2021"
"Bernd Leno","de GER","GK","Arsenal","28","1992","35","35","3,131","34.8","37","1.06","117","83","69.2","17","6","12","11","31.4","2","1","1","0","50.0","Matches","2020/2021"
"Hugo Lloris","fr FRA","GK","Tottenham","33","1986","38","38","3,420","38.0","45","1.18","155","113","77.4","18","8","12","12","31.6","10","10","0","0","0.0","Matches","2020/2021"
