Name,Season,player_id,date,market_value_in_eur,current_club_id,player_club_domestic_competition_id,Nationality,Position,Team,Age,YOB,MatchedPlayed,Starts,MinutesPlayed,90s,Goals,Assists,GA,NonPenGoals,PensScored,PensAttempted,YellowCards,RedCards,xG,npxG,xAG,npxG + xAG,ProgressiveCarries,ProgressivePasses,ProgressivePassesReceived,G/90,A/90,GA/90,NonPenGoals/90,NonPenGA/90,xG/90,xAG/90,xA+xG /90,npxG/90,npXG + xAG /90,Matches,Shots,ShotsOnTarget,SoT%,S/90,SoT/90,G/Shot,G/SoT,AvgShotDist,FKShots,npxG/Shot,Goals - xG,npG - npxG,PassesCompleted,PassesAttempted,PercentPassesCompleted,TotalPassingDistance,ProgressedPassingDistance,ShortPassesCompleted,ShortPassesAttempted,ShortPassesPercentCompleted,MedPassesCompleted,MedPassesAttempted,MedPassesPercentCompleted,LongPassesCompleted,LongPassesAttempted,LongPassesPercentCompleted,xA,A - xAG,KeyPasses,1/3,PPen,CPen,Progressive Passes,Tackles,TacklesWon,TklsDefThird,TklsMidThird,TklsAttThird,DribblersTackled,DribblesChallenged,DrblTkl%,ChallengesLost,Blocks,BlockedShots,BlockedPasses,Interceptions,Tackles + Interceptions,Clearances,DefensiveErrors,nationality_id,team_id,position_id,season_id
Diego Llorente,2021/2022,710131,2022-03-21,50000,2503,PO1,es ESP,DF,Leeds United,27,1993,28,28,"2,340",26.0,3,0,3,3,0,0,7,0,1.0,1.0,0.1,1.0,20.0,97.0,1.0,0.12,0.0,0.12,0.12,0.12,0.04,0.0,0.04,0.04,0.04,Matches,10,3,30.0,0.38,0.12,0.3,1.0,10.6,0.0,0.1,2.0,2.0,1115.0,1373.0,81.2,21989.0,7473.0,335.0,389.0,86.1,648.0,712.0,91.0,118.0,225.0,52.4,0.2,-0.1,2.0,68.0,3.0,0.0,97.0,53.0,31,32.0,19.0,2.0,33.0,47.0,70.2,14.0,35.0,17.0,18.0,40,93.0,77.0,2.0,8,13,3,3
Diego Llorente,2022/2023,246291,2022-11-03,12000000,12,IT1,es ESP,DF,Leeds United,28,1993,8,7,649,7.2,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,2.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,6,0,0.0,0.83,0.0,0.0,0.0,12.5,0.0,0.12,-0.7,-0.7,356.0,429.0,83.0,6969.0,2284.0,118.0,130.0,90.8,203.0,228.0,89.0,33.0,59.0,55.9,0.0,0.0,0.0,17.0,0.0,0.0,27.0,13.0,10,8.0,5.0,0.0,4.0,8.0,50.0,4.0,6.0,2.0,4.0,15,28.0,24.0,2.0,8,13,3,4
Diego Rico,2019/2020,249513,2020-04-08,8000000,3709,ES1,es ESP,DF,Bournemouth,26,1993,27,27,"2,332",25.9,0,4,4,0,0,0,6,0,0.4,0.4,3.2,3.6,42.0,145.0,81.0,0.0,0.15,0.15,0.0,0.15,0.02,0.12,0.14,0.02,0.14,Matches,11,3,27.3,0.42,0.12,0.0,0.0,26.3,1.0,0.04,-0.4,-0.4,993.0,1516.0,65.5,16826.0,9108.0,496.0,583.0,85.1,370.0,555.0,66.7,104.0,266.0,39.1,3.3,0.8,33.0,96.0,28.0,14.0,145.0,61.0,39,32.0,24.0,5.0,29.0,59.0,49.2,30.0,31.0,7.0,24.0,84,145.0,91.0,0.0,8,5,3,1
Dimitri Foulquier,2019/2020,170472,2020-04-08,2000000,1049,ES1,fr FRA,"DF,MF",Watford,26,1993,3,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,75.0,135.0,62.0,5.0,6.0,83.3,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,3.0,2.0,0.0,18,9,9,1
Diogo Dalot,2019/2020,357147,2020-04-08,18000000,985,GB1,pt POR,"DF,MF",Manchester Utd,20,1999,4,1,67,0.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.39,0.39,0.39,Matches,1,0,0.0,1.34,0.0,0.0,0.0,9.0,0.0,0.29,-0.3,-0.3,51.0,67.0,76.1,735.0,170.0,29.0,33.0,87.9,17.0,23.0,73.9,2.0,7.0,28.6,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,2,3.0,0.0,0.0,3.0,4.0,75.0,1.0,1.0,0.0,1.0,2,5.0,1.0,0.0,24,8,9,1
Diogo Dalot,2021/2022,357147,2022-03-29,18000000,985,GB1,pt POR,DF,Manchester Utd,22,1999,24,19,"1,801",20.0,0,0,0,0,0,0,4,0,0.6,0.6,1.2,1.7,53.0,105.0,75.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches,13,4,30.8,0.65,0.2,0.0,0.0,21.0,0.0,0.04,-0.6,-0.6,934.0,1193.0,78.3,17062.0,6008.0,407.0,477.0,85.3,396.0,490.0,80.8,117.0,181.0,64.6,1.3,-1.2,16.0,80.0,21.0,7.0,105.0,55.0,41,35.0,12.0,8.0,31.0,57.0,54.4,26.0,24.0,13.0,11.0,29,84.0,59.0,0.0,24,8,3,3
Diogo Dalot,2022/2023,357147,2023-03-16,35000000,985,GB1,pt POR,DF,Manchester Utd,23,1999,26,24,"2,154",23.9,1,2,3,1,0,0,6,0,2.5,2.5,1.9,4.4,46.0,92.0,85.0,0.04,0.08,0.13,0.04,0.13,0.1,0.08,0.18,0.1,0.18,Matches,22,7,31.8,0.92,0.29,0.05,0.14,19.9,0.0,0.11,-1.5,-1.5,1141.0,1441.0,79.2,20816.0,6349.0,468.0,527.0,88.8,543.0,639.0,85.0,113.0,205.0,55.1,1.5,0.1,29.0,82.0,28.0,13.0,92.0,54.0,41,40.0,13.0,1.0,33.0,45.0,73.3,12.0,25.0,7.0,18.0,37,91.0,55.0,2.0,24,8,3,4
Diogo Dalot,2023/2024,357147,2023-12-19,35000000,985,GB1,pt POR,DF,Manchester Utd,24,1999,26,25,"2,274",25.3,1,2,3,1,0,0,6,1,0.9,0.9,1.9,2.7,42.0,90.0,87.0,0.04,0.08,0.12,0.04,0.12,0.03,0.07,0.11,0.03,0.11,Matches,21,4,19.0,0.83,0.16,0.05,0.25,20.6,0.0,0.04,0.1,0.1,1064.0,1325.0,80.3,18394.0,5755.0,501.0,568.0,88.2,409.0,503.0,81.3,120.0,176.0,68.2,1.8,0.1,23.0,77.0,23.0,13.0,90.0,56.0,36,41.0,8.0,7.0,35.0,48.0,72.9,13.0,34.0,12.0,22.0,27,83.0,84.0,0.0,24,8,3,5
Diogo Jota,2019/2020,340950,2020-04-08,28000000,31,GB1,pt POR,FW,Wolves,22,1996,34,27,"2,284",25.4,7,1,8,7,0,0,4,0,11.5,11.5,2.7,14.2,131.0,68.0,200.0,0.28,0.04,0.32,0.28,0.32,0.45,0.11,0.56,0.45,0.56,Matches,69,26,37.7,2.72,1.02,0.1,0.27,14.2,0.0,0.17,-4.5,-4.5,682.0,886.0,77.0,9768.0,1810.0,377.0,444.0,84.9,212.0,262.0,80.9,39.0,54.0,72.2,1.9,-1.7,29.0,41.0,20.0,4.0,68.0,28.0,15,16.0,10.0,2.0,12.0,48.0,25.0,36.0,17.0,0.0,17.0,9,37.0,10.0,2.0,24,17,1,1
Diogo Jota,2020/2021,340950,2021-06-01,45000000,31,GB1,pt POR,FW,Liverpool,23,1996,19,12,"1,112",12.4,9,0,9,9,0,0,2,0,6.4,6.4,1.6,8.0,54.0,43.0,125.0,0.73,0.0,0.73,0.73,0.73,0.51,0.13,0.64,0.51,0.64,Matches,46,26,56.5,3.72,2.1,0.2,0.35,14.4,0.0,0.14,2.6,2.6,321.0,449.0,71.5,4253.0,966.0,211.0,253.0,83.4,82.0,118.0,69.5,15.0,26.0,57.7,1.3,-1.6,12.0,28.0,11.0,0.0,43.0,12.0,6,4.0,7.0,1.0,2.0,29.0,6.9,27.0,9.0,0.0,9.0,5,17.0,3.0,0.0,24,15,1,2
